n,b,Constant
274,"(1, 2, 4, 7, 12, 19, 28, 43, 64, 94)",0.49116
275,"(1, 2, 4, 7, 12, 19, 28, 43, 64, 95)",0.49119
276,"(1, 2, 4, 7, 12, 19, 29, 43, 64, 95)",0.49122
277,"(1, 2, 4, 7, 12, 19, 29, 43, 65, 95)",0.49125
278,"(1, 2, 4, 7, 12, 19, 29, 44, 65, 95)",0.49128
279,"(1, 2, 4, 7, 12, 19, 29, 44, 65, 96)",0.49131
280,"(1, 2, 4, 8, 12, 19, 29, 44, 65, 96)",0.49134
281,"(1, 2, 4, 8, 12, 19, 29, 44, 65, 97)",0.49136
282,"(1, 2, 4, 8, 12, 19, 29, 44, 66, 97)",0.49139
283,"(1, 2, 4, 8, 12, 19, 30, 44, 66, 97)",0.49142
284,"(1, 2, 4, 8, 12, 19, 30, 44, 66, 98)",0.49145
285,"(1, 2, 4, 8, 12, 19, 30, 45, 66, 98)",0.49147
286,"(1, 2, 5, 8, 12, 19, 30, 45, 66, 98)",0.49150
287,"(1, 2, 5, 8, 12, 19, 30, 45, 67, 98)",0.49153
288,"(1, 2, 5, 8, 12, 19, 30, 45, 67, 99)",0.49156
289,"(1, 2, 5, 8, 12, 20, 30, 45, 67, 99)",0.49158
290,"(1, 2, 5, 8, 12, 20, 30, 45, 68, 99)",0.49161
291,"(1, 2, 5, 8, 12, 20, 30, 45, 68, 100)",0.49164
292,"(1, 2, 5, 8, 13, 20, 30, 45, 68, 100)",0.49166
293,"(1, 2, 5, 8, 13, 20, 30, 46, 68, 100)",0.49169
294,"(1, 2, 5, 8, 13, 20, 30, 46, 68, 101)",0.49172
295,"(1, 2, 5, 8, 13, 20, 31, 46, 68, 101)",0.49174
296,"(1, 2, 5, 8, 13, 20, 31, 46, 69, 101)",0.49177
297,"(1, 2, 5, 8, 13, 20, 31, 46, 69, 102)",0.49179
298,"(1, 3, 5, 8, 13, 20, 31, 46, 69, 102)",0.49182
299,"(1, 3, 5, 8, 13, 20, 31, 47, 69, 102)",0.49185
300,"(1, 3, 5, 8, 13, 20, 31, 47, 70, 102)",0.49187
301,"(1, 3, 5, 8, 13, 20, 31, 47, 70, 103)",0.49190
302,"(1, 3, 5, 8, 13, 21, 31, 47, 70, 103)",0.49192
303,"(1, 3, 5, 8, 13, 21, 31, 47, 70, 104)",0.49195
304,"(1, 3, 5, 8, 13, 21, 32, 47, 70, 104)",0.49197
305,"(1, 3, 5, 8, 13, 21, 32, 47, 71, 104)",0.49200
306,"(1, 3, 5, 8, 13, 21, 32, 48, 71, 104)",0.49202
307,"(1, 3, 5, 8, 13, 21, 32, 48, 71, 105)",0.49204
308,"(1, 3, 5, 8, 13, 21, 32, 48, 72, 105)",0.49207
309,"(1, 3, 5, 8, 14, 21, 32, 48, 72, 105)",0.49209
310,"(1, 3, 5, 8, 14, 21, 32, 48, 72, 106)",0.49211
311,"(1, 3, 5, 8, 14, 21, 32, 49, 72, 106)",0.49214
312,"(1, 3, 5, 8, 14, 21, 33, 49, 72, 106)",0.49216
313,"(1, 3, 5, 8, 14, 21, 33, 49, 72, 107)",0.49218
314,"(1, 3, 5, 8, 14, 21, 33, 49, 73, 107)",0.49221
315,"(1, 3, 5, 9, 14, 21, 33, 49, 73, 107)",0.49223
316,"(1, 3, 5, 9, 14, 21, 33, 49, 73, 108)",0.49225
317,"(1, 3, 5, 9, 14, 22, 33, 49, 73, 108)",0.49228
318,"(1, 3, 5, 9, 14, 22, 33, 49, 74, 108)",0.49230
319,"(1, 3, 5, 9, 14, 22, 33, 50, 74, 108)",0.49232
320,"(1, 3, 5, 9, 14, 22, 33, 50, 74, 109)",0.49234
321,"(1, 3, 5, 9, 14, 22, 34, 50, 74, 109)",0.49236
322,"(1, 3, 5, 9, 14, 22, 34, 50, 74, 110)",0.49239
323,"(1, 3, 5, 9, 14, 22, 34, 50, 75, 110)",0.49241
324,"(1, 3, 5, 9, 14, 22, 34, 51, 75, 110)",0.49243
325,"(1, 3, 5, 9, 14, 22, 34, 51, 75, 111)",0.49245
326,"(1, 1, 3, 5, 9, 14, 22, 34, 51, 75, 111)",0.49247
327,"(1, 1, 3, 5, 9, 14, 22, 34, 51, 76, 111)",0.49249
328,"(1, 1, 3, 5, 9, 14, 22, 34, 51, 76, 112)",0.49251
329,"(1, 1, 3, 5, 9, 14, 23, 34, 51, 76, 112)",0.49254
330,"(1, 1, 3, 5, 9, 14, 23, 34, 52, 76, 112)",0.49256
331,"(1, 1, 3, 5, 9, 15, 23, 34, 52, 76, 112)",0.49258
332,"(1, 1, 3, 5, 9, 15, 23, 34, 52, 77, 112)",0.49260
333,"(1, 1, 3, 5, 9, 15, 23, 34, 52, 77, 113)",0.49262
334,"(1, 1, 3, 5, 9, 15, 23, 35, 52, 77, 113)",0.49264
335,"(1, 1, 3, 5, 9, 15, 23, 35, 52, 77, 114)",0.49266
336,"(1, 1, 3, 5, 9, 15, 23, 35, 52, 78, 114)",0.49268
337,"(1, 1, 3, 6, 9, 15, 23, 35, 52, 78, 114)",0.49270
338,"(1, 1, 3, 6, 9, 15, 23, 35, 53, 78, 114)",0.49272
339,"(1, 1, 3, 6, 9, 15, 23, 35, 53, 78, 115)",0.49274
340,"(1, 1, 3, 6, 9, 15, 23, 35, 53, 79, 115)",0.49276
341,"(1, 1, 3, 6, 9, 15, 23, 35, 53, 79, 116)",0.49278
342,"(1, 1, 3, 6, 9, 15, 23, 36, 53, 79, 116)",0.49280
343,"(1, 1, 3, 6, 9, 15, 24, 36, 53, 79, 116)",0.49282
344,"(1, 1, 3, 6, 9, 15, 24, 36, 54, 79, 116)",0.49284
345,"(1, 1, 3, 6, 9, 15, 24, 36, 54, 79, 117)",0.49286
346,"(1, 1, 3, 6, 9, 15, 24, 36, 54, 80, 117)",0.49288
347,"(1, 1, 3, 6, 10, 15, 24, 36, 54, 80, 117)",0.49290
348,"(1, 1, 3, 6, 10, 15, 24, 36, 54, 80, 118)",0.49292
349,"(1, 1, 3, 6, 10, 15, 24, 36, 54, 81, 118)",0.49293
350,"(1, 1, 3, 6, 10, 15, 24, 36, 55, 81, 118)",0.49295
351,"(1, 1, 3, 6, 10, 15, 24, 36, 55, 81, 119)",0.49297
352,"(1, 1, 3, 6, 10, 15, 24, 37, 55, 81, 119)",0.49299
353,"(1, 1, 3, 6, 10, 16, 24, 37, 55, 81, 119)",0.49301
354,"(1, 1, 3, 6, 10, 16, 24, 37, 55, 81, 120)",0.49303
355,"(1, 1, 3, 6, 10, 16, 24, 37, 55, 82, 120)",0.49305
356,"(1, 2, 3, 6, 10, 16, 24, 37, 55, 82, 120)",0.49306
357,"(1, 2, 3, 6, 10, 16, 24, 37, 55, 82, 121)",0.49308
358,"(1, 2, 3, 6, 10, 16, 24, 37, 56, 82, 121)",0.49310
359,"(1, 2, 3, 6, 10, 16, 24, 37, 56, 83, 121)",0.49312
360,"(1, 2, 3, 6, 10, 16, 25, 37, 56, 83, 121)",0.49314
361,"(1, 2, 3, 6, 10, 16, 25, 37, 56, 83, 122)",0.49315
362,"(1, 2, 3, 6, 10, 16, 25, 38, 56, 83, 122)",0.49317
363,"(1, 2, 3, 6, 10, 16, 25, 38, 56, 84, 122)",0.49319
364,"(1, 2, 3, 6, 10, 16, 25, 38, 56, 84, 123)",0.49321
365,"(1, 2, 3, 6, 10, 16, 25, 38, 57, 84, 123)",0.49323
366,"(1, 2, 3, 6, 10, 16, 25, 38, 57, 84, 124)",0.49324
367,"(1, 2, 3, 6, 10, 16, 25, 38, 57, 85, 124)",0.49326
368,"(1, 2, 4, 6, 10, 16, 25, 38, 57, 85, 124)",0.49328
369,"(1, 2, 4, 6, 10, 16, 25, 38, 57, 85, 125)",0.49329
370,"(1, 2, 4, 6, 10, 16, 25, 38, 58, 85, 125)",0.49331
371,"(1, 2, 4, 6, 10, 16, 25, 39, 58, 85, 125)",0.49333
372,"(1, 2, 4, 6, 10, 16, 26, 39, 58, 85, 125)",0.49334
373,"(1, 2, 4, 6, 10, 16, 26, 39, 58, 86, 125)",0.49336
374,"(1, 2, 4, 6, 10, 16, 26, 39, 58, 86, 126)",0.49338
375,"(1, 2, 4, 6, 10, 17, 26, 39, 58, 86, 126)",0.49339
376,"(1, 2, 4, 6, 10, 17, 26, 39, 58, 86, 127)",0.49341
377,"(1, 2, 4, 6, 10, 17, 26, 39, 59, 86, 127)",0.49343
378,"(1, 2, 4, 6, 10, 17, 26, 39, 59, 87, 127)",0.49344
379,"(1, 2, 4, 6, 11, 17, 26, 39, 59, 87, 127)",0.49346
380,"(1, 2, 4, 6, 11, 17, 26, 39, 59, 87, 128)",0.49347
381,"(1, 2, 4, 6, 11, 17, 26, 40, 59, 87, 128)",0.49349
382,"(1, 2, 4, 6, 11, 17, 26, 40, 59, 88, 128)",0.49351
383,"(1, 2, 4, 6, 11, 17, 26, 40, 59, 88, 129)",0.49352
384,"(1, 2, 4, 6, 11, 17, 26, 40, 60, 88, 129)",0.49354
